PAPER ID,PAPER TITLE,AUTHOR,PUBLICATION TYPE,YEAR,PUBLISHER,CITATION COUNT
PS39,"Comparative Analysis of Fake Review Monitoring and Detection using Logistic Regression, Decision Tree, Support Vector Machine",Adhikari et al.,journal,2022,SSRN,0
PS40,Spotting fake reviews via collective positive-unlabeled learning,Li et al.,conference,2014,IEEE,245
PS41,A framework for fake review detection: issues and challenges,Rout et al.,conference,2018,IEEE,21
PS42,Intelligent interface for fake product review monitoring and removal,Danish et al.,conference,2019,IEEE,4
PS43,"Data mining: Web data mining techniques, tools and algorithms: An overview",Mughal et al.,journal,2018,Science and Information (SAI) Organization Limited,114
PS44,What yelp fake review filter might be doing?,Mukherjee et al.,conference,2013,AAAI,688
PS45,Opinion mining based fake product review monitoring and removal system,Anas et al.,conference,2021,IEEE,14
PS46,Fraud detection in online reviews using machine learning techniques,Shivagangadhar et al.,journal,2015,Academia,14
PS47,A framework for fake review detection in online consumer electronics retailers,Barbado et al.,journal,2019,Elsevier,202
PS48,Ups and downs: Modeling the visual evolution of fashion trends with one-class collaborative filtering,He et al.,conference,2016,ACM,1822
PS49,Creating and detecting fake reviews of online products,Salminen et al.,journal,2022,Elsevier,71
PS50,Opinion spam and analysis,Jindall et al.,conference,2008,NTNU,1936
PS51,Fake reviews detection: A survey,Mohawesh et al.,journal,2021,IEEE,54
PS52,Review graph based online store review spammer detection,Wang et al.,conference,2011,IEEE,484
PS53,Fake review detection: Classification and analysis of real and pseudo reviews,Mukherjee et al.,journal,2013,UIC,198
PS54,Towards online anti-opinion spam: Spotting fake reviews from the review sequence,Lin et al.,conference,2014,IEEE,113
PS55,Understanding the process of writing fake online reviews,Banerjee et al.,conference,2014,IEEE,22
PS56,Reliability of reviews on the Internet: The case of TripAdvisor,Chua et al.,conference,2013,York,83
PS57,Declarative programming approach for fake review detection,Jnoub et al.,conference,2020,IEEE,8
PS58,Identify online store review spammers via social review graph,Wang et al.,journal,2012,ACM,242
PS59,Finding deceptive opinion spam by any stretch of the imagination,Ott et al.,journal,2011,arXiv,1685
PS60,Spotting opinion spammers using behavioral footprints,Mukherjee et al.,conference,2013,ACM,497
PS61,Negative deceptive opinion spam,Ott et al.,conference,2013,ACL anthology,479
PS62,Modeling consumer learning from online product reviews,Zhao et al.,journal,2013,INFORMS,274
PS63,Simultaneously detecting fake reviews and review spammers using factor graph model,Lu et al.,conference,2013,ACM,73
PS64,Spotting fake reviewer groups in consumer reviews,Mukherjee et al.,conference,2012,ACM,940
PS65,Identification of fake reviews using new set of lexical and syntactic features,Dewang et al.,conference,2015,ACM,24
PS66,Detecting product review spammers using rating behaviors,Lim et al.,conference,2010,ACM,962
PS67,Text mining and probabilistic language modeling for online review spam detection,Lau et al.,journal,2012,ACM,278
PS68,Exploiting product related review features for fake review detection,Sun et al.,journal,2016,Hindawi,62
PS69,The impact of fake reviews on online visibility: A vulnerability assessment of the hotel industry,Lappas et al.,journal,2016,INFORMS,214
PS70,Towards a general rule for identifying deceptive opinion spam,Li et al.,journal,2014,ACL anthology,396
PS71,Detecting fake reviews through sentiment analysis using machine learning techniques,Elmurngi et al.,journal,2017,Academia,57
PS72,Feature analysis for fake review detection through supervised classification,Fontanarava et al.,conference,2017,IEEE,63
PS73,An empirical study on detecting fake reviews using machine learning techniques,Elmurngi et al.,conference,2017,IEEE,68
PS74,Detection of online fake news using n-gram analysis and machine learning techniques,Ahmed et al.,conference,2017,Springer,526
PS75,Behavioral analysis of review fraud: Linking malicious crowdsourcing to amazon and beyond,Kaghazgaran et al.,conference,2017,AAAI,32
PS76,A survey on natural language processing for fake news detection,Oshikawa et al.,journal,2018,,291
PS77,Towards automatic filtering of fake reviews,Cardoso et al.,journal,2018,Elsevier,99
PS78,An enhanced graph-based semi-supervised learning algorithm to detect fake users on Twitter,Balaanand et al.,journal,2019,Springer,70
PS79,Fake consumer review detection using deep neural networks integrating word embeddings and emotion mining,Hajek et al.,journal,2020,Springer,98
PS80,"Fake online reviews: Literature review, synthesis, and directions for future research",Wu et al.,journal,2020,Elsevier,228
PS81,Collective opinion spam detection: Bridging review networks and metadata,Rayana et al.,conference,2015,ACM,537
PS82,SPR2EP: A semi-supervised spam review detection framework,Yilmaz et al.,conference,2018,IEEE,42
PS83,GSLDA: LDA-based group spamming detection in product reviews,Wang et al.,journal,2018,Springer,67
PS84,A framework for big data analytics in commercial social networks: A case study on sentiment analysis and fake review detection for marketing decision-making,Kauffmann et al.,journal,2020,Elsevier,155
PS85,Data analytics for the identification of fake reviews using supervised learning,Alsubari et al.,journal,2022,CMC,116
PS86,FAKE PRODUCT REVIEW MONITORING AND REMOVAL SYSTEM,Sameer et al.,journal,2022,IRJMETS,0
PS87,Opinion fraud detection in online reviews by network effects,Akoglu et al.,conference,2013,AAAI,523
PS88,More than words: The influence of affective content and linguistic style matches in online reviews on conversion rates,Ludwig et al.,journal,2013,SAGE Publications Sage CA,814
PS89,Extending monitoring methods to textual data: A research agenda,Ashton et al.,journal,2014,Springer,33
PS90,A study of the impact of social media on consumers,Hajli et al.,journal,2014,SAGE Publications Sage UK,1302
PS91,Neural networks for deceptive opinion spam detection: An empirical study,Ren et al.,journal,2017,Elsevier,223
PS92,Linguistic characteristics of shill reviews,Toan Ong et al.,journal,2014,Elsevier,63
PS93,Taking fake online consumer reviews seriously,Malbon et al.,journal,2013,Springer,235
PS94,Social media analysis for product safety using text mining and sentiment analysis,Isah et al.,conference,2014,IEEE,102
PS95,Survey of review spam detection using machine learning techniques,Crawford et al.,journal,2015,SpringerOpen,456
PS96,Finding potentially unsafe nutritional supplements from user reviews with topic modeling,Sullivan et al.,conference,2016,World Scientific,34
PS97,Evaluating machine learning algorithms for bengali fake news detection,Mugdha et al.,conference,2020,IEEE,17
PS98,Document representation and feature combination for deceptive spam review detection,Li et al.,journal,2017,Elsevier,141
PS99,"A Survey of Fake News: Fundamental Theories, Detection Methods, and Opportunities",Zhou et al.,journal,2020,Association for Computing Machinery,685
PS100,Fake profile detection techniques in large-scale online social networks: A comprehensive review,Ramalingam et al.,journal,2018,Elsevier,119
PS101,The importance of behavioral data to identify online fake reviews for tourism businesses: a systematic review,Reyes-Menendez et al.,journal,2019,PeerJ Inc.,91
PS102,The Influence of Fake Reviews on Consumer Perceptions of Risks and Purchase Intentions.,Wu et al.,journal,2019,North American Business Press Inc,14
PS103,Spotting and Removing Fake Product Review in Consumer Rating,Reddineelima et al.,journal,2019,Academia,
PS104,Big Data and quality data for fake news and misinformation detection,Torabi et al.,journal,2019,SAGE Publications Sage UK,111
PS105,Towards understanding and detecting fake reviews in app stores,Martens et al.,journal,2019,Springer,103
PS106,Spam review detection using spiral cuckoo search clustering method,Pandey et al.,journal,2019,Springer,56
